tenure_months,monthly_charges,support_tickets,avg_session_minutes,late_payments,contract_months,target
52,54.79,7,10.66,2,12,0
11,167.15,4,46.99,3,37,1
2,184.92,3,65.38,7,35,1
39,271.21,2,22.19,4,10,0
22,66.33,5,46.77,3,33,1
29,193.75,2,12.43,1,27,1
5,135.94,3,46.3,4,48,1
23,419.99,2,66.96,8,13,0
39,88.24,1,29.54,2,53,1
22,68.24,2,26.2,1,46,0
50,210.64,2,61.4,2,4,1
48,81.53,2,49.37,4,26,0
43,59.98,4,55.34,8,29,0
55,280.63,2,59.01,3,24,0
44,200.59,3,33.49,6,17,0
11,16.81,4,55.4,1,18,1
52,77.89,3,71.63,2,14,0
40,68.33,4,28.1,2,29,0
6,233.0,2,53.29,3,33,0
18,416.05,2,27.12,1,35,1
10,626.83,2,64.46,5,11,1
59,243.3,3,46.77,6,50,1
44,68.91,7,9.78,3,9,0
56,67.23,5,39.31,5,60,0
17,76.18,3,25.04,3,45,1
39,209.05,4,52.08,3,3,0
37,359.89,2,32.14,2,12,1
46,38.77,3,33.21,2,38,1
8,227.35,3,48.5,3,20,1
31,284.15,1,26.23,1,13,1
39,185.15,5,2.0,4,13,0
50,1429.9,4,24.63,2,3,1
40,215.87,2,23.55,2,42,0
27,151.83,4,65.48,2,22,1
28,227.55,3,2.83,4,9,0
21,101.4,2,70.61,0,48,1
10,68.75,4,38.19,3,47,1
17,199.44,2,43.48,3,46,0
9,332.8,4,31.93,8,4,1
14,125.91,4,31.64,2,13,1
52,283.72,2,23.77,4,3,0
32,114.09,1,75.38,4,7,1
6,464.97,4,21.28,3,34,1
26,172.49,3,44.36,2,53,1
17,215.73,0,39.09,3,39,1
40,253.74,3,35.87,0,27,1
50,57.6,3,55.01,0,21,0
1,130.65,2,46.04,2,23,1
28,538.27,4,2.0,4,11,0
27,152.25,4,2.0,4,1,0
60,396.16,2,24.93,1,28,1
22,275.58,2,63.1,7,2,1
10,41.29,2,73.18,2,46,1
12,243.51,3,27.98,2,28,0
29,69.28,3,36.41,4,3,0
36,178.19,2,12.69,3,20,0
20,110.95,4,41.84,4,26,0
27,150.69,2,41.3,0,44,1
40,141.23,5,22.65,2,32,0
18,175.89,4,32.96,6,27,0
58,108.44,2,44.91,4,57,1
13,57.65,0,69.41,1,25,1
57,73.19,3,73.71,2,51,1
53,281.85,1,87.1,0,30,1
58,496.28,4,22.83,8,44,1
48,174.65,1,2.0,3,6,0
32,267.63,2,37.15,1,32,1
37,294.06,0,12.42,3,6,1
13,57.05,4,45.43,2,59,0
21,40.01,5,28.32,1,22,1
28,143.18,5,20.44,3,26,1
57,39.46,5,34.15,2,2,0
48,122.64,1,55.77,2,21,0
34,52.73,6,42.87,2,1,0
36,95.89,4,35.0,2,48,1
26,87.72,2,18.6,3,42,0
26,213.58,3,12.72,6,29,0
55,94.34,0,42.64,4,10,1
1,66.46,3,27.1,5,42,0
20,153.57,2,15.59,4,18,0
25,1184.44,3,46.14,1,15,1
42,209.55,2,35.13,6,39,1
25,38.04,3,29.54,1,18,0
19,158.21,3,66.83,2,45,1
5,897.64,2,22.16,2,55,1
16,167.07,4,54.58,1,44,1
7,363.75,3,38.1,3,52,1
43,322.82,8,44.19,3,60,0
26,340.99,2,37.42,3,33,0
14,309.69,4,54.79,5,57,1
33,180.88,0,66.0,1,17,1
30,130.45,2,9.05,5,9,0
29,122.12,3,59.54,0,7,0
35,161.45,4,29.84,1,55,0
38,200.12,4,42.56,3,52,0
12,60.77,5,41.26,2,45,1
10,121.96,4,24.91,4,32,0
44,144.26,1,24.05,3,18,1
59,160.05,4,39.26,3,5,0
33,119.49,0,23.26,2,37,1
28,260.99,4,49.32,6,7,0
38,137.99,3,5.37,3,53,1
3,114.11,2,31.75,2,43,1
23,62.44,0,62.84,2,27,0
22,86.13,3,31.89,2,9,0
26,174.29,4,16.58,2,23,0
45,161.33,2,33.73,1,39,1
30,35.62,3,15.2,3,56,0
52,283.44,3,50.9,3,36,1
29,90.76,4,37.58,4,12,0
3,78.94,2,30.38,0,55,1
41,323.86,3,49.3,1,34,1
48,335.07,1,33.62,3,37,1
35,90.2,2,21.16,3,30,0
57,115.71,0,28.61,1,16,0
25,63.0,3,19.64,4,56,0
48,262.42,8,13.26,1,25,0
1,279.58,5,47.33,3,5,1
3,109.16,1,21.91,2,44,1
48,393.15,2,22.82,4,57,1
53,282.31,4,52.98,1,60,1
32,136.1,4,8.37,1,21,0
46,245.95,7,18.61,5,54,1
20,46.61,2,23.99,3,23,0
44,123.48,2,66.53,2,22,1
30,177.0,6,31.46,2,59,1
19,147.33,1,38.47,4,31,1
6,623.26,0,36.22,5,46,1
11,184.45,4,10.31,4,30,1
55,191.81,3,42.48,3,42,0
27,58.58,3,51.99,2,35,0
60,130.16,3,69.02,3,40,1
22,85.76,6,31.09,4,17,0
4,768.27,4,46.98,3,3,1
16,110.95,1,53.44,5,29,1
22,161.31,5,36.58,7,28,0
43,347.6,4,77.28,3,39,1
44,235.02,2,74.24,7,3,0
45,55.26,1,64.51,3,27,1
19,232.05,5,10.2,2,58,0
23,244.01,2,30.43,3,20,1
35,130.69,0,50.92,3,44,1
37,205.41,4,37.24,5,52,1
25,159.7,5,2.0,4,29,1
12,56.27,3,40.15,1,1,1
47,100.04,1,76.01,6,3,1
32,150.58,1,68.51,3,57,1
58,98.44,4,52.74,4,26,1
57,216.44,5,37.4,5,37,0
54,299.28,2,35.86,0,1,1
58,179.72,3,41.67,2,12,1
38,114.33,5,25.95,3,10,0
18,385.29,2,26.39,1,57,1
10,163.41,7,39.41,5,1,0
7,190.08,2,76.95,2,31,0
57,86.97,5,47.43,2,7,0
17,127.44,4,41.04,5,20,0
2,298.47,2,57.76,6,12,0
3,249.79,3,69.52,2,40,0
18,130.2,4,59.47,2,41,1
59,149.27,2,15.31,1,55,1
17,170.59,1,70.59,1,8,1
7,76.8,1,53.62,4,51,1
41,130.36,3,11.06,3,18,0
4,103.74,4,29.34,5,59,0
30,56.26,2,2.0,4,31,0
6,165.09,1,19.91,3,5,0
6,134.2,5,34.27,2,44,1
22,53.27,5,41.86,4,24,0
1,85.07,3,28.12,4,22,0
52,139.64,2,39.81,1,49,0
37,19.61,4,25.55,4,45,0
57,168.81,3,44.22,3,52,0
30,178.88,1,35.55,1,51,1
34,233.74,3,47.71,4,32,0
37,97.84,1,54.53,3,53,0
28,54.82,2,50.57,3,37,0
34,230.4,3,30.85,2,45,1
35,56.69,2,2.0,2,12,0
54,216.73,3,45.61,4,26,1
19,92.48,1,7.07,2,14,1
56,73.07,0,51.27,5,58,0
11,182.37,4,59.41,5,41,0
12,325.57,5,55.73,2,10,1
16,132.97,5,60.38,2,51,1
57,124.96,1,57.35,1,50,1
15,45.51,2,18.3,0,3,1
48,265.56,1,9.63,3,57,0
35,156.18,5,2.0,5,44,0
39,122.71,4,37.54,6,28,1
5,370.88,3,44.69,2,7,1
40,49.54,3,42.33,1,25,1
5,104.25,6,34.15,3,55,1
33,148.92,5,55.04,2,43,0
48,120.68,5,41.41,1,49,1
56,26.96,4,3.19,3,15,0
60,189.53,2,7.34,3,27,0
14,145.28,3,60.12,2,51,1
47,301.13,6,45.65,5,42,0
36,618.88,2,6.08,4,7,1
45,130.12,1,61.24,3,4,1
49,194.25,2,26.94,1,8,1
29,177.18,2,59.23,4,15,1
9,167.14,7,26.48,4,27,0
48,134.72,2,58.55,2,57,1
37,194.53,1,50.88,2,54,1
9,326.92,4,26.29,2,52,1
25,81.91,1,26.0,4,5,1
9,561.52,1,62.35,2,50,1
46,211.54,8,42.53,3,60,0
21,183.48,5,13.41,4,42,1
5,30.74,1,15.65,3,3,0
18,147.31,3,25.28,1,19,1
37,74.95,5,31.71,6,55,1
36,221.86,5,10.68,2,3,0
52,289.72,4,69.5,1,23,0
22,331.93,5,16.17,2,10,0
38,132.09,3,14.19,1,35,0
57,140.86,5,2.0,4,46,0
20,201.54,5,31.6,3,35,1
2,34.17,4,28.82,6,34,1
40,109.55,3,49.67,2,30,1
37,101.5,1,25.29,2,39,1
21,213.7,4,34.01,3,39,0
34,107.75,0,31.75,3,28,1
41,249.82,2,34.86,5,58,0
50,129.67,2,26.97,3,52,1
8,270.07,3,21.73,7,51,1
29,701.23,2,38.76,10,38,0
17,441.69,3,57.23,1,54,1
21,288.01,3,85.78,2,26,1
2,330.73,4,13.33,1,2,1
26,114.87,1,16.71,2,50,1
6,86.54,2,32.31,2,38,1
56,82.09,1,52.47,2,10,1
34,170.21,3,39.93,3,53,1
26,416.29,2,22.67,3,30,1
14,89.07,3,52.08,3,37,0
57,206.04,6,8.15,5,2,0
31,61.99,2,27.55,4,37,1
60,63.34,2,18.41,2,42,0
40,270.52,1,14.81,5,21,1
60,91.77,0,8.26,3,54,0
53,89.95,2,21.66,5,10,0
45,591.59,4,20.82,3,12,1
22,155.75,4,4.16,2,19,0
47,143.86,1,4.85,5,58,0
20,126.38,4,19.19,2,25,0
52,198.49,3,44.34,4,16,0
19,90.43,2,10.88,5,19,0
5,154.49,3,42.11,5,42,1
8,317.57,1,34.75,2,60,0
28,118.58,3,44.1,1,50,1
40,28.07,2,2.0,0,45,1
18,93.84,1,16.9,0,52,1
50,254.08,2,46.81,2,39,1
16,325.26,5,73.79,6,51,1
29,191.43,6,21.68,3,48,0
21,403.1,2,2.0,6,49,1
34,71.68,3,40.56,1,24,0
12,363.29,2,62.75,1,58,1
58,171.89,6,38.06,3,30,0
56,238.22,2,20.87,2,37,1
42,20.04,4,21.12,2,45,0
32,277.2,1,55.1,2,19,1
45,174.7,2,84.85,1,13,0
29,564.43,2,63.2,2,2,1
54,169.31,1,47.51,2,30,1
4,75.09,4,44.57,3,49,1
13,84.58,3,32.91,5,38,1
28,197.14,2,37.59,4,23,0
40,184.1,4,32.45,3,55,1
43,95.21,3,2.0,1,33,0
44,70.27,5,2.0,6,35,0
57,428.9,2,44.42,5,1,1
51,125.58,1,31.34,3,17,1
55,141.46,1,21.05,3,32,0
21,102.17,3,38.26,2,18,0
42,394.99,1,38.32,3,2,0
42,324.03,3,13.82,3,23,0
37,72.59,2,10.32,2,56,0
37,140.67,5,49.59,0,44,1
32,77.83,3,14.56,1,58,0
25,543.51,4,36.99,5,17,0
9,202.41,2,35.16,1,50,1
7,121.98,4,27.89,2,48,0
