study_hours,attendance,assignments_completed,previous_score,pass
6.3,84.1,0.0,83.0,1
2.6,50.3,4.0,76.0,0
8.8,65.3,7.0,92.0,1
6.8,99.3,,56.0,1
1.1,55.9,2.0,82.0,0
2.1,85.9,8.0,64.0,1
3.3,98.7,8.0,42.0,1
3.5,75.3,9.0,47.0,1
8.6,54.8,10.0,69.0,1
2.5,98.2,7.0,63.0,1
3.2,92.2,9.0,45.0,1
,75.3,10.0,37.0,1
7.1,56.5,4.0,65.0,1
8.7,86.5,5.0,34.0,1
3.1,81.5,1.0,95.0,1
5.5,78.4,0.0,57.0,1
7.1,91.8,2.0,67.0,1
6.9,85.7,0.0,68.0,1
1.5,54.4,1.0,34.0,0
6.3,71.3,3.0,82.0,1
6.2,87.9,-3.0,42.0,1
7.0,97.3,5.0,44.0,1
1.5,68.6,4.0,34.0,0
7.4,95.9,1.0,82.0,1
3.4,80.3,7.0,47.0,1
3.3,58.8,6.0,40.0,0
5.0,57.4,2.0,91.0,1
-2.0,65.1,5.0,49.0,0
8.0,74.5,1.0,87.0,1
4.2,98.0,6.0,54.0,1
10.0,91.1,8.0,31.0,1
1.7,99.9,9.0,92.0,1
4.2,78.2,10.0,63.0,1
3.8,87.3,3.0,56.0,1
5.9,52.3,7.0,84.0,1
5.6,67.3,0.0,83.0,1
7.2,98.3,2.0,95.0,1
3.2,74.8,8.0,,1
6.8,81.8,0.0,64.0,1
,89.0,7.0,72.0,1
9.6,84.5,9.0,65.0,1
4.3,50.6,6.0,72.0,1
6.3,85.2,3.0,32.0,1
4.0,88.5,10.0,50.0,1
2.0,50.2,3.0,39.0,0
2.3,78.1,9.0,92.0,1
6.9,58.0,2.0,83.0,1
8.1,90.7,9.0,62.0,1
4.8,52.2,,51.0,0
9.5,67.6,5.0,90.0,1
4.3,51.0,7.0,35.0,0
1.7,95.8,8.0,64.0,1
4.0,88.8,8.0,62.0,1
6.4,79.4,9.0,83.0,1
2.6,71.9,8.0,35.0,0
2.7,67.1,8.0,53.0,1
5.0,62.8,6.0,76.0,1
4.4,91.9,4.0,73.0,1
6.3,62.7,4.0,87.0,1
2.0,58.0,0.0,65.0,0
5.3,79.4,3.0,80.0,1
8.9,82.6,10.0,90.0,1
4.3,80.5,6.0,38.0,1
2.5,50.7,2.0,58.0,0
6.5,83.2,0.0,83.0,1
9.9,77.0,2.0,33.0,1
5.0,56.4,0.0,73.0,0
4.8,62.6,0.0,47.0,0
9.0,99.4,5.0,31.0,1
5.5,78.5,1.0,95.0,1
9.9,82.6,0.0,50.0,1
4.2,92.4,5.0,58.0,1
7.1,68.9,3.0,90.0,1
5.1,70.3,1.0,85.0,1
6.2,76.1,1.0,,1
5.9,92.3,2.0,51.0,1
5.1,91.6,5.0,91.0,1
7.6,95.1,10.0,89.0,1
3.4,57.3,3.0,87.0,0
1.9,98.9,8.0,66.0,1
9.3,57.6,4.0,49.0,1
7.1,54.2,10.0,86.0,1
5.9,79.6,7.0,92.0,1
7.9,58.4,4.0,84.0,1
8.7,81.5,9.0,67.0,1
4.0,52.9,10.0,62.0,1
3.0,84.6,2.0,52.0,0
6.3,59.5,3.0,65.0,1
6.3,59.4,3.0,36.0,1
5.7,61.7,8.0,69.0,1
3.1,69.6,0.0,59.0,0
2.0,75.6,8.0,46.0,0
7.0,78.9,0.0,89.0,1
5.7,52.0,6.0,62.0,1
4.9,66.2,5.0,59.0,1
2.2,55.9,2.0,,0
7.3,64.9,1.0,94.0,1
5.4,61.0,10.0,90.0,1
4.9,78.7,7.0,56.0,1
7.6,95.8,8.0,61.0,1
1.4,93.6,3.0,86.0,1
8.3,66.2,6.0,95.0,1
3.7,63.1,7.0,51.0,1
5.7,77.0,1.0,45.0,1
8.3,55.0,6.0,66.0,1
1.4,76.7,0.0,76.0,0
6.4,59.8,10.0,43.0,1
2.3,83.2,3.0,63.0,0
4.1,80.0,1.0,32.0,0
8.3,79.2,5.0,58.0,1
3.8,,9.0,42.0,1
-2.0,84.1,3.0,42.0,1
1.1,56.4,5.0,43.0,0
6.5,84.0,9.0,89.0,1
4.5,69.2,6.0,75.0,1
8.3,85.7,7.0,31.0,1
1.5,97.1,1.0,81.0,0
5.9,79.5,7.0,87.0,1
2.6,94.6,2.0,94.0,1
6.5,53.2,1.0,46.0,0
2.9,60.3,4.0,35.0,0
2.2,58.8,5.0,82.0,0
7.5,83.7,3.0,56.0,1
8.3,67.6,6.0,50.0,1
5.7,83.5,4.0,64.0,1
7.0,96.7,8.0,75.0,1
1.7,90.3,3.0,69.0,0
